repo,stars,commit,loc_py,CH001,CH002,CH003,CH004,CH005,CH006,total
vllm-project/vllm,82693,272c169,723738,0,4,0,3,0,4,11
sgl-project/sglang,28930,c80d8fe,885009,9,41,2,12,0,11,75
langchain-ai/langchain,139124,c9f98c1,218264,0,0,0,6,0,0,6
run-llama/llama_index,50097,d8d7ffb,300150,0,130,0,36,3,6,175
microsoft/autogen,58901,027ecf0,67821,0,74,5,11,2,3,95
crewAIInc/crewAI,53347,d3fc0d3,151785,0,0,7,13,0,1,21
agno-agi/agno,40660,0c64694,494099,0,14,0,1,0,7,22
letta-ai/letta,23293,1131535,150386,0,41,2,4,0,0,47
camel-ai/camel,17169,74706ad,158150,6,0,0,12,2,1,21
stanfordnlp/dspy,35002,85027b1,31556,0,0,0,1,0,0,1
microsoft/semantic-kernel,28109,61331d8,122402,0,0,1,1,0,0,2
BerriAI/litellm,50174,079c136,675778,0,176,31,114,0,215,536
mem0ai/mem0,58434,06d33f6,45017,0,0,0,0,0,0,0
567-labs/instructor,13151,36394b8,27882,0,0,0,0,0,0,0
guidance-ai/guidance,21497,21b1d90,12323,0,0,0,1,0,0,1
langflow-ai/langflow,149594,3a8f48b,269237,2,2,0,35,0,0,39
deepset-ai/haystack,25552,acbf725,55613,0,0,0,0,0,0,0
explodinggradients/ragas,?,298b682,35903,0,9,1,6,0,0,16
unslothai/unsloth,66333,31439d9,176730,0,19,0,2,1,0,22
Lightning-AI/litgpt,13422,a650062,21102,0,0,0,0,0,0,0
chroma-core/chroma,28402,b8bf764,39085,0,6,0,2,0,0,8
khoj-ai/khoj,35089,9258f57,34725,2,112,0,3,0,3,120
jina-ai/serve,21864,0f32b2a,41443,1,29,3,7,0,2,42
mindsdb/mindsdb,?,a20c2f8,,0,0,0,0,0,0,0
bentoml/BentoML,8672,73c4dbe,62488,0,3,0,10,1,1,15
PrefectHQ/prefect,22593,ea26f8b,310613,2,38,0,5,0,1,46
openai/openai-agents-python,27110,d8068d9,93253,0,0,0,0,0,7,7
modelcontextprotocol/python-sdk,23299,cf110e3,19253,0,4,0,0,0,0,4
huggingface/transformers,161539,e58593c,1162560,0,40,3,1,1,0,45
